pin,slack
FUNCTIONAL_OUTPUTS/un1_pattern_select_NE_0:A,16870
FUNCTIONAL_OUTPUTS/un1_pattern_select_NE_0:B,16833
FUNCTIONAL_OUTPUTS/un1_pattern_select_NE_0:C,16732
FUNCTIONAL_OUTPUTS/un1_pattern_select_NE_0:D,16665
FUNCTIONAL_OUTPUTS/un1_pattern_select_NE_0:Y,16665
FUNCTIONAL_OUTPUTS/counter[12]:ALn,
FUNCTIONAL_OUTPUTS/counter[12]:CLK,17205
FUNCTIONAL_OUTPUTS/counter[12]:D,16987
FUNCTIONAL_OUTPUTS/counter[12]:Q,17205
FUNCTIONAL_OUTPUTS/blink_counter[16]:ALn,
FUNCTIONAL_OUTPUTS/blink_counter[16]:CLK,17372
FUNCTIONAL_OUTPUTS/blink_counter[16]:D,17273
FUNCTIONAL_OUTPUTS/blink_counter[16]:EN,18165
FUNCTIONAL_OUTPUTS/blink_counter[16]:Q,17372
FUNCTIONAL_OUTPUTS/un1_pattern_select_NE_1:A,16936
FUNCTIONAL_OUTPUTS/un1_pattern_select_NE_1:B,16899
FUNCTIONAL_OUTPUTS/un1_pattern_select_NE_1:C,16798
FUNCTIONAL_OUTPUTS/un1_pattern_select_NE_1:D,16731
FUNCTIONAL_OUTPUTS/un1_pattern_select_NE_1:Y,16731
FUNCTIONAL_OUTPUTS/blink_counter[1]:ALn,
FUNCTIONAL_OUTPUTS/blink_counter[1]:CLK,17191
FUNCTIONAL_OUTPUTS/blink_counter[1]:D,17621
FUNCTIONAL_OUTPUTS/blink_counter[1]:EN,18165
FUNCTIONAL_OUTPUTS/blink_counter[1]:Q,17191
FUNCTIONAL_OUTPUTS/counter[14]:ALn,
FUNCTIONAL_OUTPUTS/counter[14]:CLK,17338
FUNCTIONAL_OUTPUTS/counter[14]:D,17006
FUNCTIONAL_OUTPUTS/counter[14]:Q,17338
FUNCTIONAL_OUTPUTS/blink_counter[7]:ALn,
FUNCTIONAL_OUTPUTS/blink_counter[7]:CLK,17275
FUNCTIONAL_OUTPUTS/blink_counter[7]:D,17355
FUNCTIONAL_OUTPUTS/blink_counter[7]:EN,18165
FUNCTIONAL_OUTPUTS/blink_counter[7]:Q,17275
FUNCTIONAL_OUTPUTS/blink_counter[2]:ALn,
FUNCTIONAL_OUTPUTS/blink_counter[2]:CLK,17259
FUNCTIONAL_OUTPUTS/blink_counter[2]:D,17589
FUNCTIONAL_OUTPUTS/blink_counter[2]:EN,18165
FUNCTIONAL_OUTPUTS/blink_counter[2]:Q,17259
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m11:A,17824
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m11:B,17783
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m11:C,17735
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m11:D,17630
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m11:Y,17630
FUNCTIONAL_OUTPUTS/blink_counter[22]:ALn,
FUNCTIONAL_OUTPUTS/blink_counter[22]:CLK,17460
FUNCTIONAL_OUTPUTS/blink_counter[22]:D,17221
FUNCTIONAL_OUTPUTS/blink_counter[22]:EN,18165
FUNCTIONAL_OUTPUTS/blink_counter[22]:Q,17460
FUNCTIONAL_OUTPUTS/counter[6]:ALn,
FUNCTIONAL_OUTPUTS/counter[6]:CLK,17191
FUNCTIONAL_OUTPUTS/counter[6]:D,17037
FUNCTIONAL_OUTPUTS/counter[6]:Q,17191
FUNCTIONAL_OUTPUTS/blink_counter_cry[8]:B,17339
FUNCTIONAL_OUTPUTS/blink_counter_cry[8]:CC,17320
FUNCTIONAL_OUTPUTS/blink_counter_cry[8]:P,17339
FUNCTIONAL_OUTPUTS/blink_counter_cry[8]:S,17320
FUNCTIONAL_OUTPUTS/blink_counter_cry[8]:Y3,
FUNCTIONAL_OUTPUTS/blink_counter_cry[8]:Y3A,
FUNCTIONAL_OUTPUTS/blink_counter[25]:ALn,
FUNCTIONAL_OUTPUTS/blink_counter[25]:CLK,17729
FUNCTIONAL_OUTPUTS/blink_counter[25]:D,17201
FUNCTIONAL_OUTPUTS/blink_counter[25]:EN,18165
FUNCTIONAL_OUTPUTS/blink_counter[25]:Q,17729
HEARTBEAT_LED_obuf/U_IOPAD:D,
HEARTBEAT_LED_obuf/U_IOPAD:E,
HEARTBEAT_LED_obuf/U_IOPAD:PAD,
CLK_IN_ibuf/U_IOIN:Y,
CLK_IN_ibuf/U_IOIN:YIN,
FUNCTIONAL_OUTPUTS/blink_counter[12]:ALn,
FUNCTIONAL_OUTPUTS/blink_counter[12]:CLK,17344
FUNCTIONAL_OUTPUTS/blink_counter[12]:D,17351
FUNCTIONAL_OUTPUTS/blink_counter[12]:EN,18165
FUNCTIONAL_OUTPUTS/blink_counter[12]:Q,17344
FUNCTIONAL_OUTPUTS/counter_cry[22]:B,17157
FUNCTIONAL_OUTPUTS/counter_cry[22]:C,17409
FUNCTIONAL_OUTPUTS/counter_cry[22]:CC,16873
FUNCTIONAL_OUTPUTS/counter_cry[22]:P,17157
FUNCTIONAL_OUTPUTS/counter_cry[22]:S,16873
FUNCTIONAL_OUTPUTS/counter_cry[22]:Y3,
FUNCTIONAL_OUTPUTS/counter_cry[22]:Y3A,
FUNCTIONAL_OUTPUTS/blink_counter_s[25]:B,17729
FUNCTIONAL_OUTPUTS/blink_counter_s[25]:CC,17201
FUNCTIONAL_OUTPUTS/blink_counter_s[25]:P,
FUNCTIONAL_OUTPUTS/blink_counter_s[25]:S,17201
FUNCTIONAL_OUTPUTS/blink_counter_s[25]:Y3,
FUNCTIONAL_OUTPUTS/blink_counter_s[25]:Y3A,
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_2:CC[0],17247
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_2:CC[1],17201
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_2:CI,17201
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_2:P[0],17627
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_2:P[1],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_2:Y3A[0],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_2:Y3A[1],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_2:Y3[0],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_2:Y3[1],
FUNCTIONAL_OUTPUTS/blink_counter[15]:ALn,
FUNCTIONAL_OUTPUTS/blink_counter[15]:CLK,17423
FUNCTIONAL_OUTPUTS/blink_counter[15]:D,17324
FUNCTIONAL_OUTPUTS/blink_counter[15]:EN,18165
FUNCTIONAL_OUTPUTS/blink_counter[15]:Q,17423
FAULT_LEDS_obuf[0]/U_IOTRI:DOUT,
FAULT_LEDS_obuf[0]/U_IOTRI:EOUT,
LED_PATTERN_obuf[4]/U_IOPAD:D,2049
LED_PATTERN_obuf[4]/U_IOPAD:E,
LED_PATTERN_obuf[4]/U_IOPAD:PAD,2049
FUNCTIONAL_OUTPUTS/counter[9]:ALn,
FUNCTIONAL_OUTPUTS/counter[9]:CLK,17257
FUNCTIONAL_OUTPUTS/counter[9]:D,17006
FUNCTIONAL_OUTPUTS/counter[9]:Q,17257
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m8:A,17824
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m8:B,17783
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m8:C,17721
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m8:D,17630
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m8:Y,17630
LED_PATTERN_obuf[1]/U_IOPAD:D,2049
LED_PATTERN_obuf[1]/U_IOPAD:E,
LED_PATTERN_obuf[1]/U_IOPAD:PAD,2049
FUNCTIONAL_OUTPUTS/counter[13]:ALn,
FUNCTIONAL_OUTPUTS/counter[13]:CLK,17288
FUNCTIONAL_OUTPUTS/counter[13]:D,16953
FUNCTIONAL_OUTPUTS/counter[13]:Q,17288
FUNCTIONAL_OUTPUTS/led_pattern[5]:ALn,
FUNCTIONAL_OUTPUTS/led_pattern[5]:CLK,2049
FUNCTIONAL_OUTPUTS/led_pattern[5]:D,17677
FUNCTIONAL_OUTPUTS/led_pattern[5]:Q,2049
FUNCTIONAL_OUTPUTS/counter[22]:ALn,
FUNCTIONAL_OUTPUTS/counter[22]:CLK,17409
FUNCTIONAL_OUTPUTS/counter[22]:D,16873
FUNCTIONAL_OUTPUTS/counter[22]:Q,17409
FUNCTIONAL_OUTPUTS/blink_counter_cry[13]:B,17294
FUNCTIONAL_OUTPUTS/blink_counter_cry[13]:CC,17305
FUNCTIONAL_OUTPUTS/blink_counter_cry[13]:P,17294
FUNCTIONAL_OUTPUTS/blink_counter_cry[13]:S,17305
FUNCTIONAL_OUTPUTS/blink_counter_cry[13]:Y3,
FUNCTIONAL_OUTPUTS/blink_counter_cry[13]:Y3A,
FUNCTIONAL_OUTPUTS/blink_counter_cry[14]:B,17362
FUNCTIONAL_OUTPUTS/blink_counter_cry[14]:CC,17271
FUNCTIONAL_OUTPUTS/blink_counter_cry[14]:P,17362
FUNCTIONAL_OUTPUTS/blink_counter_cry[14]:S,17271
FUNCTIONAL_OUTPUTS/blink_counter_cry[14]:Y3,
FUNCTIONAL_OUTPUTS/blink_counter_cry[14]:Y3A,
FAULT_LEDS_obuf[2]/U_IOPAD:D,
FAULT_LEDS_obuf[2]/U_IOPAD:E,
FAULT_LEDS_obuf[2]/U_IOPAD:PAD,
FUNCTIONAL_OUTPUTS/blink_counter_cry[5]:B,17325
FUNCTIONAL_OUTPUTS/blink_counter_cry[5]:CC,17342
FUNCTIONAL_OUTPUTS/blink_counter_cry[5]:P,17325
FUNCTIONAL_OUTPUTS/blink_counter_cry[5]:S,17342
FUNCTIONAL_OUTPUTS/blink_counter_cry[5]:Y3,
FUNCTIONAL_OUTPUTS/blink_counter_cry[5]:Y3A,
FUNCTIONAL_OUTPUTS/blink_counter_cry[10]:B,17339
FUNCTIONAL_OUTPUTS/blink_counter_cry[10]:CC,17324
FUNCTIONAL_OUTPUTS/blink_counter_cry[10]:P,17339
FUNCTIONAL_OUTPUTS/blink_counter_cry[10]:S,17324
FUNCTIONAL_OUTPUTS/blink_counter_cry[10]:Y3,
FUNCTIONAL_OUTPUTS/blink_counter_cry[10]:Y3A,
FUNCTIONAL_OUTPUTS/status_led_3:A,17552
FUNCTIONAL_OUTPUTS/status_led_3:B,17827
FUNCTIONAL_OUTPUTS/status_led_3:Y,17552
FUNCTIONAL_OUTPUTS/counter[8]:ALn,
FUNCTIONAL_OUTPUTS/counter[8]:CLK,17294
FUNCTIONAL_OUTPUTS/counter[8]:D,17059
FUNCTIONAL_OUTPUTS/counter[8]:Q,17294
FUNCTIONAL_OUTPUTS/counter[10]:ALn,
FUNCTIONAL_OUTPUTS/counter[10]:CLK,17305
FUNCTIONAL_OUTPUTS/counter[10]:D,16976
FUNCTIONAL_OUTPUTS/counter[10]:Q,17305
FUNCTIONAL_OUTPUTS/counter[24]:ALn,
FUNCTIONAL_OUTPUTS/counter[24]:CLK,16899
FUNCTIONAL_OUTPUTS/counter[24]:D,16883
FUNCTIONAL_OUTPUTS/counter[24]:Q,16899
FUNCTIONAL_OUTPUTS/counter[15]:ALn,
FUNCTIONAL_OUTPUTS/counter[15]:CLK,17278
FUNCTIONAL_OUTPUTS/counter[15]:D,16955
FUNCTIONAL_OUTPUTS/counter[15]:Q,17278
FUNCTIONAL_OUTPUTS/counter_cry[21]:B,17109
FUNCTIONAL_OUTPUTS/counter_cry[21]:C,17361
FUNCTIONAL_OUTPUTS/counter_cry[21]:CC,16903
FUNCTIONAL_OUTPUTS/counter_cry[21]:P,17109
FUNCTIONAL_OUTPUTS/counter_cry[21]:S,16903
FUNCTIONAL_OUTPUTS/counter_cry[21]:Y3,
FUNCTIONAL_OUTPUTS/counter_cry[21]:Y3A,
FUNCTIONAL_OUTPUTS/blink_counter_cry[18]:B,17395
FUNCTIONAL_OUTPUTS/blink_counter_cry[18]:CC,17300
FUNCTIONAL_OUTPUTS/blink_counter_cry[18]:P,17395
FUNCTIONAL_OUTPUTS/blink_counter_cry[18]:S,17300
FUNCTIONAL_OUTPUTS/blink_counter_cry[18]:Y3,
FUNCTIONAL_OUTPUTS/blink_counter_cry[18]:Y3A,
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m6:A,17824
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m6:B,17783
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m6:C,17721
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m6:D,17677
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m6:Y,17677
FUNCTIONAL_OUTPUTS/counter_cry[7]:B,16993
FUNCTIONAL_OUTPUTS/counter_cry[7]:C,17245
FUNCTIONAL_OUTPUTS/counter_cry[7]:CC,17002
FUNCTIONAL_OUTPUTS/counter_cry[7]:P,16993
FUNCTIONAL_OUTPUTS/counter_cry[7]:S,17002
FUNCTIONAL_OUTPUTS/counter_cry[7]:Y3,
FUNCTIONAL_OUTPUTS/counter_cry[7]:Y3A,
FUNCTIONAL_OUTPUTS/blink_counter_cry[19]:B,17363
FUNCTIONAL_OUTPUTS/blink_counter_cry[19]:CC,17251
FUNCTIONAL_OUTPUTS/blink_counter_cry[19]:P,17363
FUNCTIONAL_OUTPUTS/blink_counter_cry[19]:S,17251
FUNCTIONAL_OUTPUTS/blink_counter_cry[19]:Y3,
FUNCTIONAL_OUTPUTS/blink_counter_cry[19]:Y3A,
FUNCTIONAL_OUTPUTS/led_pattern[3]:ALn,
FUNCTIONAL_OUTPUTS/led_pattern[3]:CLK,2049
FUNCTIONAL_OUTPUTS/led_pattern[3]:D,17677
FUNCTIONAL_OUTPUTS/led_pattern[3]:Q,2049
FUNCTIONAL_OUTPUTS/counter_cry[23]:B,17114
FUNCTIONAL_OUTPUTS/counter_cry[23]:C,17366
FUNCTIONAL_OUTPUTS/counter_cry[23]:CC,16929
FUNCTIONAL_OUTPUTS/counter_cry[23]:P,17114
FUNCTIONAL_OUTPUTS/counter_cry[23]:S,16929
FUNCTIONAL_OUTPUTS/counter_cry[23]:Y3,
FUNCTIONAL_OUTPUTS/counter_cry[23]:Y3A,
HEARTBEAT_LED_obuf/U_IOTRI:D,
HEARTBEAT_LED_obuf/U_IOTRI:DOUT,
HEARTBEAT_LED_obuf/U_IOTRI:EOUT,
FUNCTIONAL_OUTPUTS/blink_counter[0]:ALn,
FUNCTIONAL_OUTPUTS/blink_counter[0]:CLK,17235
FUNCTIONAL_OUTPUTS/blink_counter[0]:D,17866
FUNCTIONAL_OUTPUTS/blink_counter[0]:EN,18165
FUNCTIONAL_OUTPUTS/blink_counter[0]:Q,17235
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m14:A,17826
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m14:B,17787
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m14:C,17721
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m14:D,17677
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m14:Y,17677
FUNCTIONAL_OUTPUTS/counter_cry[25]:B,17132
FUNCTIONAL_OUTPUTS/counter_cry[25]:C,17373
FUNCTIONAL_OUTPUTS/counter_cry[25]:CC,16849
FUNCTIONAL_OUTPUTS/counter_cry[25]:P,17132
FUNCTIONAL_OUTPUTS/counter_cry[25]:S,16849
FUNCTIONAL_OUTPUTS/counter_cry[25]:Y3,
FUNCTIONAL_OUTPUTS/counter_cry[25]:Y3A,
FUNCTIONAL_OUTPUTS/blink_counter_cry[22]:B,17460
FUNCTIONAL_OUTPUTS/blink_counter_cry[22]:CC,17221
FUNCTIONAL_OUTPUTS/blink_counter_cry[22]:P,17460
FUNCTIONAL_OUTPUTS/blink_counter_cry[22]:S,17221
FUNCTIONAL_OUTPUTS/blink_counter_cry[22]:Y3,
FUNCTIONAL_OUTPUTS/blink_counter_cry[22]:Y3A,
FUNCTIONAL_OUTPUTS/pattern_select[2]:ALn,
FUNCTIONAL_OUTPUTS/pattern_select[2]:CLK,16732
FUNCTIONAL_OUTPUTS/pattern_select[2]:D,18600
FUNCTIONAL_OUTPUTS/pattern_select[2]:EN,16665
FUNCTIONAL_OUTPUTS/pattern_select[2]:Q,16732
FUNCTIONAL_OUTPUTS/blink_counter_cry[1]:B,17191
FUNCTIONAL_OUTPUTS/blink_counter_cry[1]:CC,17621
FUNCTIONAL_OUTPUTS/blink_counter_cry[1]:P,17191
FUNCTIONAL_OUTPUTS/blink_counter_cry[1]:S,17621
FUNCTIONAL_OUTPUTS/blink_counter_cry[1]:Y3,
FUNCTIONAL_OUTPUTS/blink_counter_cry[1]:Y3A,
FUNCTIONAL_OUTPUTS/counter_cry[19]:B,17097
FUNCTIONAL_OUTPUTS/counter_cry[19]:C,17349
FUNCTIONAL_OUTPUTS/counter_cry[19]:CC,16900
FUNCTIONAL_OUTPUTS/counter_cry[19]:P,17097
FUNCTIONAL_OUTPUTS/counter_cry[19]:S,16900
FUNCTIONAL_OUTPUTS/counter_cry[19]:Y3,
FUNCTIONAL_OUTPUTS/counter_cry[19]:Y3A,
LED_PATTERN_obuf[0]/U_IOTRI:D,2049
LED_PATTERN_obuf[0]/U_IOTRI:DOUT,2049
LED_PATTERN_obuf[0]/U_IOTRI:EOUT,
LED_PATTERN_obuf[5]/U_IOTRI:D,2049
LED_PATTERN_obuf[5]/U_IOTRI:DOUT,2049
LED_PATTERN_obuf[5]/U_IOTRI:EOUT,
FUNCTIONAL_OUTPUTS/counter_s_2_CC_2:CC[0],16929
FUNCTIONAL_OUTPUTS/counter_s_2_CC_2:CC[1],16883
FUNCTIONAL_OUTPUTS/counter_s_2_CC_2:CC[2],16849
FUNCTIONAL_OUTPUTS/counter_s_2_CC_2:CC[3],16902
FUNCTIONAL_OUTPUTS/counter_s_2_CC_2:CC[4],16851
FUNCTIONAL_OUTPUTS/counter_s_2_CC_2:CI,16849
FUNCTIONAL_OUTPUTS/counter_s_2_CC_2:P[0],17114
FUNCTIONAL_OUTPUTS/counter_s_2_CC_2:P[1],17052
FUNCTIONAL_OUTPUTS/counter_s_2_CC_2:P[2],17132
FUNCTIONAL_OUTPUTS/counter_s_2_CC_2:P[3],17298
FUNCTIONAL_OUTPUTS/counter_s_2_CC_2:P[4],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_2:Y3A[0],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_2:Y3A[1],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_2:Y3A[2],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_2:Y3A[3],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_2:Y3A[4],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_2:Y3[0],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_2:Y3[1],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_2:Y3[2],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_2:Y3[3],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_2:Y3[4],
FUNCTIONAL_OUTPUTS/counter_cry[26]:B,17298
FUNCTIONAL_OUTPUTS/counter_cry[26]:C,17539
FUNCTIONAL_OUTPUTS/counter_cry[26]:CC,16902
FUNCTIONAL_OUTPUTS/counter_cry[26]:P,17298
FUNCTIONAL_OUTPUTS/counter_cry[26]:S,16902
FUNCTIONAL_OUTPUTS/counter_cry[26]:Y3,
FUNCTIONAL_OUTPUTS/counter_cry[26]:Y3A,
FUNCTIONAL_OUTPUTS/counter[23]:ALn,
FUNCTIONAL_OUTPUTS/counter[23]:CLK,17366
FUNCTIONAL_OUTPUTS/counter[23]:D,16929
FUNCTIONAL_OUTPUTS/counter[23]:Q,17366
FUNCTIONAL_OUTPUTS/blink_counter_cry[17]:B,17428
FUNCTIONAL_OUTPUTS/blink_counter_cry[17]:CC,17244
FUNCTIONAL_OUTPUTS/blink_counter_cry[17]:P,17428
FUNCTIONAL_OUTPUTS/blink_counter_cry[17]:S,17244
FUNCTIONAL_OUTPUTS/blink_counter_cry[17]:Y3,
FUNCTIONAL_OUTPUTS/blink_counter_cry[17]:Y3A,
FAULT_LEDS_obuf[0]/U_IOPAD:D,
FAULT_LEDS_obuf[0]/U_IOPAD:E,
FAULT_LEDS_obuf[0]/U_IOPAD:PAD,
LED_PATTERN_obuf[5]/U_IOPAD:D,2049
LED_PATTERN_obuf[5]/U_IOPAD:E,
LED_PATTERN_obuf[5]/U_IOPAD:PAD,2049
FUNCTIONAL_OUTPUTS/counter_cry[2]:B,16982
FUNCTIONAL_OUTPUTS/counter_cry[2]:C,17234
FUNCTIONAL_OUTPUTS/counter_cry[2]:CC,17103
FUNCTIONAL_OUTPUTS/counter_cry[2]:P,16982
FUNCTIONAL_OUTPUTS/counter_cry[2]:S,17103
FUNCTIONAL_OUTPUTS/counter_cry[2]:Y3,
FUNCTIONAL_OUTPUTS/counter_cry[2]:Y3A,
FUNCTIONAL_OUTPUTS/counter_cry[0]:B,16849
FUNCTIONAL_OUTPUTS/counter_cry[0]:C,17101
FUNCTIONAL_OUTPUTS/counter_cry[0]:CC,17309
FUNCTIONAL_OUTPUTS/counter_cry[0]:P,16849
FUNCTIONAL_OUTPUTS/counter_cry[0]:S,17309
FUNCTIONAL_OUTPUTS/counter_cry[0]:Y3,
FUNCTIONAL_OUTPUTS/counter_cry[0]:Y3A,
FUNCTIONAL_OUTPUTS/counter[20]:ALn,
FUNCTIONAL_OUTPUTS/counter[20]:CLK,17398
FUNCTIONAL_OUTPUTS/counter[20]:D,16957
FUNCTIONAL_OUTPUTS/counter[20]:Q,17398
FUNCTIONAL_OUTPUTS/blink_counter[24]:ALn,
FUNCTIONAL_OUTPUTS/blink_counter[24]:CLK,17627
FUNCTIONAL_OUTPUTS/blink_counter[24]:D,17247
FUNCTIONAL_OUTPUTS/blink_counter[24]:EN,18165
FUNCTIONAL_OUTPUTS/blink_counter[24]:Q,17627
FUNCTIONAL_OUTPUTS/counter[25]:ALn,
FUNCTIONAL_OUTPUTS/counter[25]:CLK,16833
FUNCTIONAL_OUTPUTS/counter[25]:D,16849
FUNCTIONAL_OUTPUTS/counter[25]:Q,16833
FUNCTIONAL_OUTPUTS/blink_counter[6]:ALn,
FUNCTIONAL_OUTPUTS/blink_counter[6]:CLK,17307
FUNCTIONAL_OUTPUTS/blink_counter[6]:D,17401
FUNCTIONAL_OUTPUTS/blink_counter[6]:EN,18165
FUNCTIONAL_OUTPUTS/blink_counter[6]:Q,17307
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:CC[0],17033
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:CC[10],16903
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:CC[11],16873
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:CC[1],16987
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:CC[2],16953
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:CC[3],17006
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:CC[4],16955
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:CC[5],16926
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:CC[6],16982
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:CC[7],16933
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:CC[8],16900
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:CC[9],16957
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:CI,16849
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:CO,16849
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:P[0],17016
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:P[10],17109
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:P[11],17157
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:P[1],16953
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:P[2],17036
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:P[3],17086
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:P[4],17026
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:P[5],17102
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:P[6],17074
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:P[7],17043
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:P[8],17097
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:P[9],17146
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:Y3A[0],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:Y3A[10],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:Y3A[11],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:Y3A[1],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:Y3A[2],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:Y3A[3],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:Y3A[4],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:Y3A[5],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:Y3A[6],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:Y3A[7],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:Y3A[8],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:Y3A[9],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:Y3[0],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:Y3[10],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:Y3[11],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:Y3[1],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:Y3[2],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:Y3[3],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:Y3[4],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:Y3[5],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:Y3[6],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:Y3[7],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:Y3[8],
FUNCTIONAL_OUTPUTS/counter_s_2_CC_1:Y3[9],
FUNCTIONAL_OUTPUTS/blink_counter_cry[16]:B,17372
FUNCTIONAL_OUTPUTS/blink_counter_cry[16]:CC,17273
FUNCTIONAL_OUTPUTS/blink_counter_cry[16]:P,17372
FUNCTIONAL_OUTPUTS/blink_counter_cry[16]:S,17273
FUNCTIONAL_OUTPUTS/blink_counter_cry[16]:Y3,
FUNCTIONAL_OUTPUTS/blink_counter_cry[16]:Y3A,
FUNCTIONAL_OUTPUTS/counter[19]:ALn,
FUNCTIONAL_OUTPUTS/counter[19]:CLK,17349
FUNCTIONAL_OUTPUTS/counter[19]:D,16900
FUNCTIONAL_OUTPUTS/counter[19]:Q,17349
FUNCTIONAL_OUTPUTS/blink_counter_cry[21]:B,17491
FUNCTIONAL_OUTPUTS/blink_counter_cry[21]:CC,17275
FUNCTIONAL_OUTPUTS/blink_counter_cry[21]:P,17491
FUNCTIONAL_OUTPUTS/blink_counter_cry[21]:S,17275
FUNCTIONAL_OUTPUTS/blink_counter_cry[21]:Y3,
FUNCTIONAL_OUTPUTS/blink_counter_cry[21]:Y3A,
FUNCTIONAL_OUTPUTS/counter[17]:ALn,
FUNCTIONAL_OUTPUTS/counter[17]:CLK,17326
FUNCTIONAL_OUTPUTS/counter[17]:D,16982
FUNCTIONAL_OUTPUTS/counter[17]:Q,17326
FUNCTIONAL_OUTPUTS/counter[5]:ALn,
